corridor,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate
ASTOR PL,2042,1071,542,279,150,971,0.0013994566815236438,0.4755142017629775,0.2654260528893242,0.1366307541625857,0.07345739471106758
W 57 ST,2390,1021,503,618,248,1369,0.001334122569407694,0.5728033472803348,0.21046025104602512,0.2585774058577406,0.10376569037656903
CATHEDRAL PKWY,2183,944,509,613,117,1239,0.0012335080367491314,0.5675675675675675,0.2331653687585891,0.28080622995877236,0.053595968850206135
W 106 ST,1988,748,935,194,111,1240,0.0009773983172546084,0.6237424547283702,0.4703219315895372,0.09758551307847083,0.05583501006036217
E 96 ST,1970,725,790,291,164,1245,0.0009473446256812715,0.631979695431472,0.4010152284263959,0.14771573604060914,0.083248730964467
E 57 ST,1724,724,369,477,154,1000,0.0009460379434389524,0.580046403712297,0.2140371229698376,0.2766821345707657,0.08932714617169374
W 96 ST,1558,703,332,373,150,855,0.0009185976163502536,0.5487804878048781,0.21309370988446727,0.23940949935815148,0.0962772785622593
MANHATTAN AV,1380,672,431,168,109,708,0.0008780904668383647,0.5130434782608696,0.31231884057971016,0.12173913043478261,0.07898550724637682
E 126 ST,1931,571,1098,137,125,1360,0.0007461155603641462,0.7042982910409115,0.5686172967374418,0.0709476954945624,0.0647332988089073
E 84 ST,1034,525,368,75,66,509,0.0006860081772174725,0.4922630560928433,0.35589941972920697,0.0725338491295938,0.06382978723404255
W 168 ST,1536,498,630,312,96,1038,0.0006507277566748595,0.67578125,0.41015625,0.203125,0.0625
E 110 ST,1056,489,77,418,72,567,0.0006389676164939886,0.5369318181818182,0.07291666666666667,0.3958333333333333,0.06818181818181818
8 AV,791,483,188,74,46,308,0.0006311275230400747,0.3893805309734513,0.23767383059418457,0.09355246523388117,0.05815423514538559
E 120 ST,717,463,131,62,61,254,0.0006049938781936947,0.3542538354253835,0.18270571827057183,0.08647140864714087,0.08507670850767085
PARK AV SOUTH,944,369,294,203,78,575,0.0004821657474157092,0.6091101694915254,0.3114406779661017,0.21504237288135594,0.0826271186440678
E 24 ST,631,354,157,78,42,277,0.0004625655137809243,0.43898573692551507,0.24881141045958796,0.12361331220285261,0.06656101426307448
UNION SQ EAST,743,350,197,162,34,393,0.0004573387848116483,0.5289367429340511,0.2651413189771198,0.2180349932705249,0.04576043068640646
W 24 ST,540,331,105,68,36,209,0.0004325118222075874,0.387037037037037,0.19444444444444445,0.1259259259259259,0.06666666666666667
W 165 ST,805,313,218,202,72,492,0.00040899154184584547,0.6111801242236025,0.2708074534161491,0.25093167701863356,0.08944099378881988
HUDSON ST,780,308,358,74,40,472,0.0004024581306342505,0.6051282051282051,0.45897435897435895,0.09487179487179487,0.05128205128205128
FORT GEORGE AV,536,294,138,64,40,242,0.00038416457924178457,0.45149253731343286,0.2574626865671642,0.11940298507462686,0.07462686567164178
CENTRAL PARK WEST,489,280,130,56,23,209,0.00036587102784931864,0.4274028629856851,0.2658486707566462,0.11451942740286299,0.04703476482617587
12 AV,526,272,149,67,38,254,0.00035541756991076665,0.4828897338403042,0.2832699619771863,0.12737642585551331,0.07224334600760456
COOPER SQ,568,240,206,96,26,328,0.00031360373815655885,0.5774647887323944,0.3626760563380282,0.16901408450704225,0.045774647887323945
WEST END AV,991,227,315,322,127,764,0.0002966168690064119,0.7709384460141272,0.31786074672048437,0.3249243188698285,0.12815338042381433
E 8 ST,724,224,378,98,24,500,0.0002926968222794549,0.6906077348066298,0.5220994475138122,0.13535911602209943,0.03314917127071823
E 91 ST,341,203,78,40,20,138,0.00026525649519075603,0.4046920821114369,0.2287390029325513,0.11730205278592376,0.05865102639296188
86 ST TRANSVERSE,423,199,159,38,27,224,0.00026002976622148004,0.5295508274231678,0.375886524822695,0.08983451536643026,0.06382978723404255
4 AV,572,170,314,68,20,402,0.00022213598119422918,0.7027972027972028,0.548951048951049,0.11888111888111888,0.03496503496503497
W 166 ST,372,169,90,82,31,203,0.00022082929895191018,0.5456989247311828,0.24193548387096775,0.22043010752688172,0.08333333333333333
E 20 ST,405,168,171,43,23,237,0.00021952261670959118,0.5851851851851851,0.4222222222222222,0.10617283950617284,0.056790123456790124
E 92 ST,332,165,137,16,14,167,0.00021560256998263418,0.5030120481927711,0.4126506024096386,0.04819277108433735,0.04216867469879518
JACKSON ST,234,151,42,27,14,83,0.00019730901859016825,0.3547008547008547,0.1794871794871795,0.11538461538461539,0.05982905982905983
E 25 ST,295,146,30,110,9,149,0.0001907756073785733,0.5050847457627119,0.1016949152542373,0.3728813559322034,0.030508474576271188
E 97 ST,364,132,135,56,41,232,0.00017248205598610736,0.6373626373626373,0.3708791208791209,0.15384615384615385,0.11263736263736264
W 72 ST,576,126,140,269,41,450,0.0001646419625321934,0.78125,0.24305555555555555,0.4670138888888889,0.07118055555555555
EAST HOUSTON ST,234,115,88,22,9,119,0.00015026845786668443,0.5085470085470085,0.37606837606837606,0.09401709401709402,0.038461538461538464
E 32 ST,485,113,267,93,12,372,0.00014765509338204643,0.7670103092783506,0.5505154639175258,0.19175257731958764,0.024742268041237112
HOYT AV,329,112,160,21,36,217,0.00014634841113972746,0.6595744680851063,0.48632218844984804,0.06382978723404255,0.1094224924012158
UNIVERSITY AV,215,111,47,36,21,104,0.00014504172889740846,0.48372093023255813,0.2186046511627907,0.16744186046511628,0.09767441860465116
AV C,318,104,158,39,17,214,0.0001358949532011755,0.6729559748427673,0.4968553459119497,0.12264150943396226,0.05345911949685535
WADSWORTH AV,178,103,41,18,16,75,0.0001345882709588565,0.42134831460674155,0.2303370786516854,0.10112359550561797,0.0898876404494382
W 87 ST,252,101,123,22,6,151,0.0001319749064742185,0.5992063492063492,0.4880952380952381,0.0873015873015873,0.023809523809523808
W 181 ST,186,96,55,18,17,90,0.00012544149526262354,0.4838709677419355,0.2956989247311828,0.0967741935483871,0.0913978494623656
SEDGWICK AV,157,95,33,13,16,62,0.00012413481302030454,0.39490445859872614,0.21019108280254778,0.08280254777070063,0.10191082802547771
E 41 ST,709,79,567,34,29,630,0.00010322789714320061,0.8885754583921015,0.7997179125528914,0.047954866008462625,0.04090267983074753
