stop_canonical,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate,longitude,latitude
2 AV / E 42 ST,6412,3273,2194,505,440,3139,0.004276770979110071,0.48955084217092953,0.34217092950717404,0.07875857766687461,0.06862133499688085,-73.9733785,40.7484745
BROADWAY / W 187 ST,6827,3224,2161,1027,415,3603,0.00421274354923644,0.5277574337190567,0.3165372784532005,0.15043210780723598,0.06078804745862018,-73.933245,40.855523
AMSTERDAM AV / W 149 ST,6083,3119,1946,578,440,2964,0.004075541913792946,0.4872595758671708,0.31990794016110474,0.09501890514548743,0.07233273056057866,-73.945043,40.828738
2 AV / E 87 ST,5794,3057,1366,644,727,2737,0.003994527614769168,0.47238522609596134,0.23576113220573006,0.1111494649637556,0.12547462892647565,-73.953233,40.775912
AMSTERDAM AV / W 140 ST,5725,3031,1548,614,532,2694,0.003960553876468874,0.47056768558951967,0.2703930131004367,0.10724890829694324,0.09292576419213974,-73.950209,40.821457
AMSTERDAM AV / W 86 ST,5629,3023,1949,305,352,2606,0.003950100418530322,0.46295967312133596,0.3462426718777758,0.05418369159708652,0.06253330964647362,-73.974084,40.787306
3 AV / E 39 ST,6711,3014,1970,929,798,3697,0.003938340278349451,0.5508866040828491,0.2935479064222918,0.13842944419609596,0.11890925346446134,-73.95605,40.770626
E 86 ST / LEXINGTON AV,5046,2936,1420,396,294,2110,0.0038364190634485695,0.4181529924692826,0.2814110186286167,0.07847800237812129,0.05826397146254459,-73.956581,40.77982
SOUTH FERRY / TERMINAL,4386,2873,1016,321,176,1513,0.003754098082182473,0.3449612403100775,0.23164614683082535,0.073187414500684,0.04012767897856817,-74.01128,40.7028245
5 AV / E 84 ST,6907,2830,2697,647,733,4077,0.0036979107457627562,0.5902707398291588,0.3904734327493847,0.09367308527580716,0.106124221803967,-73.9622179903478,40.779162992214914
1 AV / E 81 ST,5007,2811,635,1131,430,2196,0.003673083783158695,0.4385859796285201,0.1268224485719992,0.22588376273217495,0.08587976832434592,-73.951086,40.774476
AMSTERDAM AV / W 131 ST,7127,2791,3381,500,455,4336,0.0036469501383123155,0.608390627192367,0.47439315279921423,0.07015574575557738,0.06384172863757542,-73.955029,40.81512
AMSTERDAM AV / W 170 ST,4613,2761,1008,516,328,1852,0.0036077496710427456,0.401474094949057,0.21851289833080426,0.1118577931931498,0.07110340342510298,-73.936769,40.839872
AMSTERDAM AV / W 173 ST,4915,2750,624,966,575,2165,0.0035933761663772368,0.4404883011190234,0.1269582909460834,0.1965412004069176,0.11698880976602238,-73.933495,40.844554
