month,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate,active_routes,active_route_days,violations_per_active_route_day,records_per_active_route_day,days_observed,partial_month,constant_cohort_violations,constant_cohort_records,constant_cohort_routes
2024-06,5300,2841,1845,366,248,2459,0.003712284250428265,0.4639622641509434,0.3481132075471698,0.06905660377358491,0.04679245283018868,4,44,64.56818181818181,120.45454545454545,11,True,2841,5300,4
2024-07,17379,9754,5662,1147,816,7625,0.012745378591579478,0.4387479141492606,0.3257955003164739,0.06599919443005926,0.04695321940272743,4,124,78.66129032258064,140.15322580645162,31,False,9754,17379,4
2024-08,17857,9716,5820,1340,981,8141,0.012695724666371356,0.45589964719717757,0.32592260738085904,0.0750406003248026,0.05493643949151593,4,124,78.35483870967742,144.00806451612902,31,False,9716,17857,4
2024-09,29465,17436,8956,1497,1576,12029,0.022783311577074,0.4082470727982352,0.30395384354318683,0.05080604106567114,0.05348718818937723,8,138,126.34782608695652,213.5144927536232,30,False,8931,16350,4
2024-10,83714,50843,24422,4319,4130,32871,0.06643564524622467,0.39265833671787276,0.2917313710968297,0.05159232625367322,0.049334639367369856,8,248,205.01209677419354,337.55645161290323,31,False,13507,25601,4
2024-11,72707,40609,20955,7307,3836,32098,0.053063059178332074,0.4414705599185773,0.2882115889804283,0.10049926416988736,0.05275970676826165,8,240,169.20416666666668,302.9458333333333,30,False,11012,21758,4
2024-12,64178,38085,16840,5816,3437,26093,0.04976499319871893,0.40657234566362305,0.2623952133129733,0.09062295490666583,0.05355417744398392,8,248,153.56854838709677,258.78225806451616,31,False,10510,19237,4
2025-01,65138,36393,18791,5537,4417,28745,0.04755408684471519,0.4412938684024686,0.28847984279529615,0.08500414504590255,0.06780988056126992,8,248,146.7459677419355,262.6532258064516,31,False,10292,19753,4
2025-02,51961,28126,16658,3616,3561,23835,0.03675174474746406,0.45870941667789306,0.32058659379149745,0.06959065452935856,0.068532168357037,8,224,125.5625,231.96875,28,False,9100,17135,4
2025-03,66678,35853,22084,4233,4508,30825,0.04684847843386293,0.4622964096103662,0.3312036953717868,0.06348420768469361,0.06760850655388584,8,248,144.56854838709677,268.86290322580646,31,False,11122,21853,4
2025-04,70231,37703,22159,5081,5288,32528,0.049265840582153074,0.4631572952115163,0.31551594025430363,0.07234696928706696,0.07529438567014567,8,240,157.09583333333333,292.62916666666666,30,False,11581,22510,4
2025-05,78975,41449,24165,7929,5432,37526,0.05416067226188003,0.47516302627413737,0.305982905982906,0.1003988603988604,0.06878125989237101,12,284,145.94718309859155,278.08098591549293,31,False,11313,22937,4
2025-06,92883,49902,25156,10516,7309,42981,0.06520605725620249,0.462743451438907,0.270835352001981,0.11321770399319574,0.07869039544373028,12,360,138.61666666666667,258.0083333333333,30,False,10442,21264,4
2025-07,95695,51829,27617,8920,7329,43866,0.06772403393715119,0.45839385547834266,0.28859397042687707,0.09321281153665291,0.07658707351481268,12,372,139.3252688172043,257.244623655914,31,False,10371,20509,4
2025-08,89351,47734,26404,8820,6393,41617,0.06237317015485491,0.4657698291009614,0.29550872402099587,0.09871182191581515,0.07154928316415038,12,372,128.31720430107526,240.19086021505376,31,False,9932,19346,4
2025-09,91832,45643,28381,10646,7162,46189,0.05964089758616589,0.5029728199320498,0.3090534889798763,0.11592908789964283,0.0779902430525307,12,360,126.78611111111111,255.0888888888889,30,False,10521,22523,4
2025-10,94140,43367,30119,12441,8213,50773,0.05666688880264786,0.5393350329296792,0.3199383896324623,0.1321542383683875,0.0872424049288294,14,410,105.77317073170731,229.609756097561,31,False,8900,20582,4
2025-11,83686,36613,25787,14030,7256,47073,0.047841556938025366,0.5624955189637454,0.30813995172430275,0.16765050307100351,0.08670506416843916,14,420,87.17380952380952,199.25238095238095,30,False,7481,18087,4
2025-12,80796,34305,25432,13769,7290,46491,0.04482573432275313,0.5754121491162929,0.3147680578246448,0.17041685231942175,0.09022723897222634,15,458,74.90174672489083,176.41048034934497,31,False,7062,16584,4
2026-01,79094,33352,23862,14738,7142,45742,0.04358046614582312,0.5783245252484386,0.3016916580271576,0.186335246668521,0.09029762055276001,15,465,71.7247311827957,170.09462365591398,31,False,8482,20814,4
2026-02,81787,37371,20826,16797,6793,44416,0.048832022077703166,0.5430691919253671,0.25463704500715273,0.20537493733722964,0.08305720958098475,15,420,88.97857142857143,194.73095238095237,28,False,10265,23931,4
2026-03,71855,34280,24134,5641,7800,37575,0.04479306726669515,0.5229281191288011,0.3358708510194141,0.07850532322037436,0.1085519448890126,15,465,73.72043010752688,154.5268817204301,31,False,7168,15889,4
2026-04,35660,2093,24097,2964,6506,33567,0.0027348859331736567,0.9413067863151992,0.6757431295569265,0.08311833987661245,0.18244531688166013,16,468,4.472222222222222,76.19658119658119,30,False,920,8864,4
2026-05,33843,0,23649,2787,7407,33843,0.0,1.0,0.6987855686552611,0.08235085542061873,0.2188635759241202,17,517,0.0,65.46034816247582,31,False,0,7032,4
2026-06,11925,0,7974,1391,2560,11925,0.0,1.0,0.6686792452830189,0.11664570230607967,0.21467505241090146,17,255,0.0,46.76470588235294,15,True,0,2390,4
